chebi_id	children_count	depth[,]
CHEBI:45967	0	16, 8, 9, 10, 11, 12, 13, 14, 15
CHEBI:45968	0	8, 9, 10
CHEBI:59878	0	9, 11
CHEBI:59879	0	8, 10, 11, 12
CHEBI:59876	3	8, 9, 10, 11
CHEBI:59877	0	6
CHEBI:43700	0	7, 9, 10, 11, 12
CHEBI:46440	0	9, 10, 11, 12
CHEBI:46444	0	16, 8, 9, 10, 11, 12, 13, 14
CHEBI:46442	0	6, 7, 8, 10
CHEBI:45980	0	7, 9, 10, 11, 12
CHEBI:43716	0	8
CHEBI:43717	0	8, 9, 10, 11
CHEBI:43710	0	8, 9, 11, 13, 15
CHEBI:43711	0	10, 11, 12
CHEBI:43712	0	8, 9, 10, 11
CHEBI:45979	0	8, 9, 10
CHEBI:45976	0	8, 9, 10, 11, 12, 13
CHEBI:46430	0	17, 16, 14, 15
CHEBI:45993	1	8, 9, 10, 11
CHEBI:46432	0	17, 15
CHEBI:43729	0	8, 10
CHEBI:43726	0	7, 8, 9, 10, 11, 12, 13, 14, 15
CHEBI:43724	0	8, 9, 10, 11
CHEBI:45984	0	5, 8, 9, 10, 11
CHEBI:46424	0	9, 10, 11, 12, 13
CHEBI:45985	0	8, 9, 10, 11, 12, 14
CHEBI:59898	0	7
CHEBI:59899	0	7, 8, 10
CHEBI:43722	0	9, 10, 11, 12, 13, 14, 15
CHEBI:45987	0	9, 10, 11, 12, 13, 14
CHEBI:46428	0	9, 10, 11, 12, 13, 14
CHEBI:41679	0	9, 10, 11, 12, 13, 14
CHEBI:41674	0	13, 15
CHEBI:41677	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:41692	0	8, 9, 10, 11, 12, 13, 14
CHEBI:41690	0	8, 9, 10, 11, 12, 13, 14, 15
CHEBI:41696	0	11, 12, 13, 14
CHEBI:46400	0	9, 10, 11, 12, 14
CHEBI:406059	0	8, 9, 11
CHEBI:41630	0	11, 12, 13, 14
CHEBI:59809	0	6
CHEBI:59807	0	8, 10, 11, 12
CHEBI:59805	0	11, 12, 13, 14
CHEBI:59806	0	6, 7
CHEBI:41636	0	8, 9, 10, 11
CHEBI:59803	0	9, 10, 11, 12
CHEBI:59804	0	11, 12, 13, 14
CHEBI:59801	1	9, 11
CHEBI:59802	0	9, 11
CHEBI:59800	0	9, 11
CHEBI:4717	0	7, 8, 9, 10, 11
CHEBI:4710	1	8, 9, 10, 11
CHEBI:41643	0	9, 10, 11, 12, 13
CHEBI:4706	0	7, 8
CHEBI:4707	0	7, 8, 9
CHEBI:4708	0	8, 9, 10, 11, 12, 14
CHEBI:4709	0	8, 9, 11
CHEBI:4702	0	8, 9, 10, 11
CHEBI:4703	0	8, 9, 10
CHEBI:4705	0	9, 10, 11, 13
CHEBI:41654	0	10, 11, 12
CHEBI:59829	0	6, 10
CHEBI:41650	0	11, 13
CHEBI:59823	0	7, 8, 9
CHEBI:59824	0	7, 9
CHEBI:59821	0	7, 8, 9
CHEBI:59822	0	7, 8
CHEBI:59827	8	7
CHEBI:59828	1	5, 9
CHEBI:59825	0	7, 9, 10, 11
CHEBI:59831	2	9, 10
CHEBI:59830	6	4, 7
CHEBI:4734	0	8, 9, 10, 11
